"""","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"１．産業","310875.0","308936.0","306966.0","306492.0","304580.0","303811.0","303315.0","302547.0","304374.0","304196.0","303418.0","301714.0","304676.0"
"１．産業_（１）農林水産業","4722.0","4744.0","4822.0","4948.0","5082.0","4981.0","4921.0","4867.0","4825.0","4817.0","4470.0","4317.0","4182.0"
"１．産業_（１）農林水産業_　①農業","2485.0","2668.0","2889.0","3139.0","3398.0","3289.0","3200.0","3115.0","3022.0","2948.0","2876.0","2806.0","2737.0"
"１．産業_（１）農林水産業_　②林業","785.0","713.0","650.0","596.0","545.0","623.0","717.0","807.0","915.0","1028.0","1028.0","963.0","961.0"
"１．産業_（１）農林水産業_　③水産業","1452.0","1363.0","1283.0","1213.0","1139.0","1069.0","1004.0","945.0","888.0","841.0","566.0","548.0","484.0"
"１．産業_（２）鉱業","140.0","118.0","102.0","85.0","68.0","62.0","57.0","52.0","49.0","47.0","50.0","53.0","59.0"
"１．産業_（３）製造業","65129.0","62950.0","60990.0","59147.0","57191.0","56640.0","56294.0","55714.0","55242.0","54074.0","55908.0","56179.0","55836.0"
"１．産業_（４）建設業","33522.0","31722.0","30594.0","29593.0","28017.0","27335.0","26577.0","25969.0","25240.0","23511.0","24056.0","23762.0","23590.0"
"１．産業_（５）電気・ガス・水道業","2403.0","3256.0","2032.0","1869.0","1707.0","1684.0","1695.0","1696.0","1698.0","1694.0","1760.0","1344.0","1842.0"
"１．産業_（６）卸売・小売業","76739.0","76650.0","77133.0","77731.0","63187.0","61787.0","60513.0","59314.0","58199.0","57205.0","56162.0","54497.0","54213.0"
"１．産業_（７）金融・保険業","11190.0","10896.0","10595.0","10302.0","9842.0","9780.0","9716.0","9652.0","9591.0","9535.0","9254.0","9015.0","8859.0"
"１．産業_（８）不動産業","2523.0","2586.0","2591.0","2579.0","2668.0","2708.0","2744.0","2786.0","2831.0","2875.0","2829.0","2995.0","3113.0"
"１．産業_（９）運輸業","18502.0","18310.0","18121.0","17933.0","17748.0","17670.0","17599.0","17543.0","17492.0","17464.0","17728.0","16912.0","17026.0"
"１．産業_（１０）情報通信業","4873.0","4659.0","4454.0","4258.0","4071.0","3882.0","3706.0","3548.0","3411.0","3291.0","3271.0","3227.0","3279.0"
"１．産業_（１１）サービス業","91132.0","93045.0","95532.0","98047.0","114999.0","117282.0","119493.0","121406.0","125796.0","129683.0","127930.0","129413.0","132677.0"
"２．政府サービス生産者","31348.0","31037.0","31060.0","30699.0","30267.0","29593.0","29219.0","29372.0","29520.0","28299.0","27954.0","27851.0","27643.0"
"２．政府サービス生産者_（１）電気・ガス・水道業","1034.0","1050.0","1056.0","1058.0","1071.0","1079.0","1052.0","1039.0","1026.0","1018.0","1011.0","1006.0","1006.0"
"２．政府サービス生産者_（２）サービス業","10374.0","10247.0","10067.0","9885.0","9711.0","9226.0","9085.0","9439.0","9792.0","8766.0","8661.0","8570.0","8447.0"
"２．政府サービス生産者_（３）公務","19940.0","19740.0","19937.0","19756.0","19485.0","19288.0","19082.0","18894.0","18702.0","18515.0","18282.0","18275.0","18190.0"
"３．対家計民間非営利サービス生産者","13620.0","13833.0","14052.0","14277.0","14509.0","14747.0","14862.0","14792.0","12465.0","12369.0","13195.0","13793.0","14474.0"
"３．対家計民間非営利サービス生産者_（１）サービス業","13620.0","13833.0","14052.0","14277.0","14509.0","14747.0","14862.0","14792.0","12465.0","12369.0","13195.0","13793.0","14474.0"
"雇用者数（県内ベース）合計","355843.0","353806.0","352078.0","351468.0","349356.0","348151.0","347396.0","346711.0","346359.0","344864.0","344567.0","343358.0","346793.0"
"雇用者数（県民ベース）合計","375414.0","372125.0","371188.0","370350.0","368120.0","366436.0","365211.0","364066.0","363267.0","361346.0","360843.0","359424.0","362653.0"
